Submission id,prolificid,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad42ed5cf8eac5c8702656,63d8518247f4eb60f36dd960,APPROVED,2023-07-11T11:55:19.180000Z,2023-07-11T12:47:14.472000Z,2023-07-13T17:17:59.383000,2023-07-11T12:47:15.196051Z,3116,NOCODE,302,English,49,Male,Black,United States,United States,United States,English,Yes,Full-Time
64ad42ee548c3643ed169735,5b0f27321e55760001b9a8a5,APPROVED,2023-07-11T11:54:30.746000Z,2023-07-11T12:25:06.771000Z,2023-07-13T17:17:59.525000,2023-07-11T12:25:07.763955Z,1837,NOCODE,488,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad42fad9cd0354cf6956c8,60e4949dd5c2941c69e48621,APPROVED,2023-07-11T11:54:39.784000Z,2023-07-11T12:23:35.384000Z,2023-07-13T17:17:59.660000,2023-07-11T12:23:36.084343Z,1736,NOCODE,598,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad42fcf73e37f59c83b6d1,62c4447bf90fc4b646c59a62,APPROVED,2023-07-11T11:54:37.998000Z,2023-07-11T12:29:20.496000Z,2023-07-13T17:17:59.781000,2023-07-11T12:29:21.021022Z,2083,NOCODE,202,"English, French",21,Male,Mixed,Mauritius,United Kingdom,Ireland,English,Yes,Unemployed (and job seeking)
64ad42fdc6a40a890636215c,60dca4d773b80ebb055e5de8,APPROVED,2023-07-11T11:54:43.110000Z,2023-07-11T12:25:01.489000Z,2023-07-13T17:17:59.904000,2023-07-11T12:25:01.997129Z,1819,NOCODE,61,English,22,Female,Asian,Pakistan,United Kingdom,United Kingdom,English,Yes,Other
64ad4302c754948d475fae24,5f494da56aa639495fbc58d2,APPROVED,2023-07-11T11:54:50.670000Z,2023-07-11T12:16:38.360000Z,2023-07-13T17:18:00.017000,2023-07-11T12:17:05.379921Z,1308,NOCODE,413,"English, French",21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
64ad430bc6a40a8906362163,6087b352bc927336035cb9e0,APPROVED,2023-07-11T11:54:58.718000Z,2023-07-11T12:27:18.010000Z,2023-07-13T17:18:00.137000,2023-07-11T12:27:18.487301Z,1940,NOCODE,106,English,32,Female,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time
64ad4310380da69a902aaa7a,5739ae9d12d1d8000735d6bb,APPROVED,2023-07-11T11:54:59.175000Z,2023-07-11T12:25:31.709000Z,2023-07-13T17:18:00.257000,2023-07-11T12:25:32.362107Z,1833,NOCODE,1069,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad4310964cb6c0c5d5de62,61520fd805a718c7d27229c0,APPROVED,2023-07-11T11:55:00.502000Z,2023-07-11T12:28:37.331000Z,2023-07-13T17:18:00.373000,2023-07-11T12:28:37.977678Z,2017,NOCODE,692,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad4318227249fb8f0b4c12,6147460b25ac4d56e609255c,APPROVED,2023-07-11T11:55:07.733000Z,2023-07-11T12:16:47.910000Z,2023-07-13T17:18:00.494000,2023-07-11T12:17:07.997996Z,1301,NOCODE,129,"English, German",29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad43186d2bf80a77f3a713,5a8458e9f49c9a0001f37f03,APPROVED,2023-07-11T11:55:15.793000Z,2023-07-11T12:25:15.422000Z,2023-07-13T17:18:00.615000,2023-07-11T12:25:16.039545Z,1800,NOCODE,446,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad431ec48b40e42b25f932,5cec2831539ced0017fbc5f4,APPROVED,2023-07-11T11:55:10.830000Z,2023-07-11T12:20:40.203000Z,2023-07-13T17:18:00.731000,2023-07-11T12:20:40.888093Z,1530,NOCODE,1519,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad43202768633dc51ae7f2,6437c46de0a8d34308fc860e,APPROVED,2023-07-11T11:55:57.903000Z,2023-07-11T12:34:48.017000Z,2023-07-13T17:18:00.849000,2023-07-11T12:34:48.559019Z,2331,NOCODE,70,English,68,Male,White,United States,Germany,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad43214f27fade20542a16,5b7af69d2f3fc30001374190,APPROVED,2023-07-11T11:55:19.122000Z,2023-07-11T12:34:52.530000Z,2023-07-13T17:18:01.022000,2023-07-11T12:34:52.986787Z,2374,NOCODE,366,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad43299ced0b377137ef2e,6137e32367aae15b0156bd7e,APPROVED,2023-07-11T11:55:26.752000Z,2023-07-11T12:23:23.865000Z,2023-07-13T17:18:01.142000,2023-07-11T12:23:24.359399Z,1678,NOCODE,939,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad432d3964fec21e9e64ac,5aa91bb86475f90001a07cc5,APPROVED,2023-07-11T11:55:30.781000Z,2023-07-11T12:25:08.193000Z,2023-07-13T17:18:01.263000,2023-07-11T12:25:09.055063Z,1778,NOCODE,490,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad432f6f53a175e1bbbd46,610e47e32fee3f67f185cb37,APPROVED,2023-07-11T11:56:00.736000Z,2023-07-11T12:18:24.192000Z,2023-07-13T17:18:01.374000,2023-07-11T12:18:24.739568Z,1344,NOCODE,378,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad43339789afc7c4f3a6f5,5fa9628fcfe3fe0d2fd65062,APPROVED,2023-07-11T11:55:31.561000Z,2023-07-11T12:46:15.444000Z,2023-07-13T17:18:01.496000,2023-07-11T12:46:15.896123Z,3044,NOCODE,516,"Afrikaans, English",49,Female,Asian,South Africa,South Africa,South Africa,English,No,Part-Time
64ad4337ed76031c7307b601,5fd3789cee06d705f5e783cc,APPROVED,2023-07-11T11:55:46.046000Z,2023-07-11T12:50:04.344000Z,2023-07-13T17:18:01.623000,2023-07-11T12:50:05.904306Z,3259,NOCODE,368,English,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
